name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia Diversiﬁed Monthly Income Fund,M,,0.2,,,,,,,,3.8,12.5,-6.1,7.6
Scotia Selected Maximum Growth Portfolio,T,BNS444,2.24,,,,,,,19.6,17.1,13.7,-13.3,12.6
Scotia Partners Balanced Income Portfolio,A,BNS346,2.18,,7.7,2.9,4.3,4.3,-1.4,9.0,7.0,3.7,-12.2,7.6
Scotia Selected Growth Portfolio,A,BNS342,2.13,,9.8,6.0,4.9,10.4,-5.0,15.8,13.0,10.9,-12.0,11.5
Scotia Low Carbon Global Equity Fund,A,BNS269,2.37,,,,,,,,,18.1,-18.6,23.0
Scotia Partners Balanced Income Portfolio Class,FT,BNS51446,1.12,,,,,,,,,,,8.7
Scotia Wealth U.S. Value Pool,F,PIN1500,1.23,,9.7,9.8,-4.4,10.0,3.7,16.5,6.1,17.5,3.0,-0.6
Scotia Partners Maximum Growth Portfolio Class,F,BNS51349,1.41,,,,,,,,,,,12.2
Scotia Canadian Equity Blend Class,A,BNS1369,2.23,,10.7,-0.1,15.4,6.6,-9.7,17.4,2.2,24.0,-6.7,8.8
Scotia Low Carbon Global Equity Fund,M,,0.32,,,,,,,,,20.5,-16.9,25.5
Scotia INNOVA Growth Portfolio,F,BNS5333,1.13,,,,,,,,,,,11.4
Scotia INNOVA Balanced Growth Portfolio Class,F,BNS51332,1.11,,,,,,,,,,,10.8
Scotia Wealth High Yield Income Pool,F,PIN1215,0.94,,5.2,-0.3,10.2,-0.2,-3.7,6.7,-7.3,32.2,7.1,13.3
Scotia Wealth American Core-Plus Bond Pool,F,PIN1240,0.9,,7.0,0.7,2.7,3.3,-1.8,8.6,8.2,-0.9,-15.9,4.8
Scotia Global Bond Fund,F,BNS579,1.07,,7.4,10.9,-4.2,0.8,6.8,-1.0,8.2,-6.8,-13.5,5.9
Scotia Diversiﬁed Monthly Income Fund,A,BNS339,1.5,,7.7,3.4,4.5,6.5,-1.2,11.2,2.4,12.5,-6.1,6.3
Scotia U.S. $ Bond Fund,F,BNS559,0.8,,5.1,-0.8,1.0,2.2,-0.9,8.8,8.6,-0.9,-13.1,6.7
Scotia Wealth Short Term Bond Pool,K,PIN6410,0.12,,,,,0.3,2.1,2.5,5.7,-1.1,-3.9,5.3
Scotia Wealth International Equity Pool,Pinnacle,PIN520,0.34,,1.6,20.5,-2.5,16.5,-8.3,14.4,3.0,7.0,-10.6,15.2
Scotia International Equity Index Fund,F,BNS587,0.73,,2.3,15.7,-3.9,14.7,-7.6,14.9,3.3,9.1,-9.1,13.7
Scotia INNOVA Balanced Income Portfolio Class,A,BNS1331,2.1,,8.4,2.9,3.7,4.8,-2.0,8.7,4.9,5.5,-9.8,7.9
Scotia Money Market Fund,Pinnacle,PIN357,0.04,,,,,,,,,0.3,2.0,5.1
Scotia Canadian Income Fund,M,,0.13,,8.4,2.2,2.8,3.0,3.8,5.7,8.5,-2.8,-9.9,7.8
Scotia Canadian Income Fund,A,BNS377,1.33,,6.9,0.8,1.4,1.8,2.6,4.4,7.2,-4.0,-11.0,6.4
Scotia Wealth Global High Yield Pool,Pinnacle,PIN250,0.21,,,,,,,14.7,3.3,2.5,-10.6,10.6
Scotia Wealth International Small to Mid Cap Value Pool,Pinnacle,PIN525,0.71,,9.3,29.3,-2.7,28.6,-13.4,22.5,13.3,11.7,-17.2,13.0
